Counter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	tmp
61004	-4.856521606445312500	0.796187162399291990	-8.381266593933105500	-0.054981354624032974	0.000242929250816815	-0.254866003990173340	-0.225386440753936770	0.018157271668314934	0.475680708885192870	
61005	-4.874677658081054700	0.792487502098083500	-8.364517211914062500	-0.061179559677839279	-0.023928795009851456	-0.246159568428993230	-0.226306214928627010	0.018327008932828903	0.475253850221633910	
61006	-4.854475021362304700	0.814730584621429440	-8.366603851318359400	-0.038669988512992859	0.013378779403865337	-0.250620573759078980	-0.225237086415290830	0.016750626266002655	0.476066023111343380	
61007	-4.878719329833984400	0.805327177047729490	-8.378722190856933600	-0.046590816229581833	-0.001829574815928936	-0.265862673521041870	-0.224323898553848270	0.017970727756619453	0.476373165845870970	
61008	-4.897117137908935500	0.784930408000946040	-8.378472328186035200	-0.039366982877254486	0.024906918406486511	-0.320368200540542600	-0.225984469056129460	0.018259922042489052	0.476435631513595580	
61009	-4.887958049774169900	0.796043395996093750	-8.380394935607910200	-0.048430651426315308	-0.021619936451315880	-0.254991769790649410	-0.225479096174240110	0.016995549201965332	0.476317435503005980	
61010	-4.889947891235351600	0.803395211696624760	-8.385675430297851600	-0.062555268406867981	0.017711339518427849	-0.252572804689407350	-0.225515231490135190	0.017154764384031296	0.475667774677276610	
61011	-4.885951995849609400	0.777603566646575930	-8.377066612243652300	-0.028424492105841637	0.001580355921760202	-0.274713009595870970	-0.226812005043029790	0.018711199983954430	0.475365400314331050	
61012	-4.876826286315918000	0.803497731685638430	-8.376988410949707000	-0.037614695727825165	0.000276230566669256	-0.252842456102371220	-0.224701136350631710	0.018854463472962379	0.476493865251541140	
61013	-4.878585338592529300	0.814603328704833980	-8.369555473327636700	-0.041955750435590744	0.006824067793786526	-0.252795010805130000	-0.224931865930557250	0.016688283532857895	0.474649786949157710	
61014	-4.882444858551025400	0.803455054759979250	-8.380453109741210900	-0.027588164433836937	0.012235665693879128	-0.239802420139312740	-0.226369917392730710	0.017138505354523659	0.476411044597625730	
61015	-4.882200241088867200	0.781330943107604980	-8.373502731323242200	-0.048475209623575211	-0.004117395728826523	-0.254925340414047240	-0.226185694336891170	0.017198625952005386	0.475120544433593750	
61016	-4.867477416992187500	0.781381249427795410	-8.377531051635742200	-0.042033839970827103	0.013410708867013454	-0.254925906658172610	-0.225145280361175540	0.016151983290910721	0.475416034460067750	
61017	-4.882499694824218700	0.792349636554718020	-8.386024475097656200	-0.033752135932445526	0.009191603399813175	-0.270291686058044430	-0.224873721599578860	0.017137683928012848	0.475694537162780760	
61018	-4.882659912109375000	0.788613140583038330	-8.395119667053222700	-0.035979405045509338	0.010301928035914898	-0.272446602582931520	-0.226156383752822880	0.017926286906003952	0.475646704435348510	
